@relation 'STORM_trainingSet_8-weka.filters.unsupervised.attribute.Remove-R1,2'

@attribute ' Size' numeric
@attribute ' LOC Touched' numeric
@attribute ' NR' numeric
@attribute ' NFix' numeric
@attribute ' NAuth' numeric
@attribute ' LOC Added' numeric
@attribute ' Max LOC Added' numeric
@attribute ' Average LOC Added' numeric
@attribute ' Churn' numeric
@attribute ' Max Churn' numeric
@attribute ' Average Churn' numeric
@attribute ' Bugginess' {yes,no}

@data
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
9,95,7,0,4,95,17,13.571429,95,17,13.571429,no
19,125,7,0,4,125,19,17.857143,125,19,17.857143,no
48,212,7,0,4,212,48,30.285714,212,48,30.285714,no
24,140,7,0,4,140,24,20,140,24,20,no
22,134,7,0,4,134,22,19.142857,134,22,19.142857,no
21,131,7,0,4,131,21,18.714286,131,21,18.714286,no
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
108,392,7,0,4,392,108,56,392,108,56,no
21,131,7,0,4,131,21,18.714286,131,21,18.714286,no
31,161,7,0,4,161,31,23,161,31,23,no
27,177,14,0,11,163,27,11.642857,149,27,10.642857,no
25,143,7,0,4,143,25,20.428571,143,25,20.428571,no
29,197,14,0,11,176,29,12.571429,155,29,11.071429,no
25,143,7,0,4,143,25,20.428571,143,25,20.428571,no
96,356,7,0,4,356,96,50.857143,356,96,50.857143,no
36,176,7,0,4,176,36,25.142857,176,36,25.142857,no
39,185,7,0,4,185,39,26.428571,185,39,26.428571,no
44,200,7,0,4,200,44,28.571429,200,44,28.571429,no
32,164,7,0,4,164,32,23.428571,164,32,23.428571,no
36,176,7,0,4,176,36,25.142857,176,36,25.142857,no
12,104,7,0,4,104,17,14.857143,104,17,14.857143,no
31,161,7,0,4,161,31,23,161,31,23,no
79,305,7,0,4,305,79,43.571429,305,79,43.571429,no
78,302,7,0,4,302,78,43.142857,302,78,43.142857,no
34,170,7,0,4,170,34,24.285714,170,34,24.285714,no
12,104,7,0,4,104,17,14.857143,104,17,14.857143,no
142,494,7,0,4,494,142,70.571429,494,142,70.571429,no
36,176,7,0,4,176,36,25.142857,176,36,25.142857,no
39,185,7,0,4,185,39,26.428571,185,39,26.428571,no
10,98,7,0,4,98,17,14,98,17,14,no
78,302,7,0,4,302,78,43.142857,302,78,43.142857,no
23,137,7,0,4,137,23,19.571429,137,23,19.571429,no
28,187,14,0,11,159,28,11.357143,131,28,9.357143,no
44,256,14,0,11,221,44,15.785714,186,44,13.285714,no
36,176,7,0,4,176,36,25.142857,176,36,25.142857,no
21,131,7,0,4,131,21,18.714286,131,21,18.714286,no
47,244,14,0,11,237,47,16.928571,230,47,16.428571,no
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
35,187,14,0,11,173,35,12.357143,159,35,11.357143,no
12,104,7,0,4,104,17,14.857143,104,17,14.857143,no
16,116,7,0,4,116,17,16.571429,116,17,16.571429,no
22,134,7,0,4,134,22,19.142857,134,22,19.142857,no
201,824,21,0,17,744,201,35.428571,664,201,31.619048,no
23,137,7,0,4,137,23,19.571429,137,23,19.571429,no
10,98,7,0,4,98,17,14,98,17,14,no
67,269,7,0,4,269,67,38.428571,269,67,38.428571,no
45,203,7,0,4,203,45,29,203,45,29,no
63,257,7,0,4,257,63,36.714286,257,63,36.714286,no
42,194,7,0,4,194,42,27.714286,194,42,27.714286,no
76,310,14,0,11,303,76,21.642857,296,76,21.142857,no
90,338,7,0,4,338,90,48.285714,338,90,48.285714,no
56,236,7,0,4,236,56,33.714286,236,56,33.714286,no
89,355,11,1,7,347,89,31.545455,339,89,30.818182,yes
59,245,7,0,4,245,59,35,245,59,35,no
75,315,18,0,14,304,75,16.888889,293,75,16.277778,no
7,89,7,0,4,89,17,12.714286,89,17,12.714286,no
16,150,23,3,17,133,17,5.782609,116,17,5.043478,yes
14,110,7,0,4,110,17,15.714286,110,17,15.714286,no
